Diet_type,Recipe_name,Protein,Carbs,Fat,Total_macronutrients
dash,100-Mile Dash,0.007927236315086782,0.9878170894526034,0.004255674232309746,239.68
dash,Goulash In A Dash,0.46775677056719467,0.4098790665985351,0.12236416283427014,293.55
dash,Garlicky Wilted Kale (with a dash of Nutmeg),0.19223478658735865,0.49532649192757694,0.31243872148506435,152.99
dash,Modern Cocktail No. 2 Recipe,0.0031512605042016808,0.9879201680672268,0.00892857142857143,19.04
dash,Pegu,0.010771992818671455,0.9802513464991024,0.008976660682226214,11.139999999999999
dash,Aztec Chocolate Bark,0.08653506336143788,0.5747463018124905,0.33871863482607156,396.14000000000004
dash,Celery Cider,0.009695290858725761,0.9792243767313019,0.0110803324099723,7.220000000000001
dash,Spaghetti Squash with Maple Syrup and Shallots recipes,0.04834965747607994,0.7284153314838929,0.2232350110400272,176.63
dash,Emeril's Sazerac,0.01694915254237288,0.9792843691148777,0.0037664783427495295,5.31
dash,Al's Bloody Best,0.16233766233766236,0.7808441558441559,0.05681818181818182,6.159999999999999
dash,My Favorite Bloody Mary,0.13682432432432434,0.8192567567567567,0.04391891891891892,5.92
dash,The Fourth Regiment Cocktail recipes,0.0582010582010582,0.9312169312169312,0.010582010582010581,1.8900000000000001
dash,Vieux Carré Recipe,0.01282051282051282,0.9807692307692307,0.00641025641025641,1.56
dash,The Berkeley Free Speech Cocktail,0.006773920406435225,0.9898391193903472,0.0033869602032176125,11.809999999999999
dash,Garbo Gargle Cocktail recipes,0.009787928221859707,0.9869494290375205,0.0032626427406199027,6.129999999999999
dash,Pinnacleandreg; Sunday Funday,0.17585089141004862,0.784035656401945,0.040113452188006486,24.68
dash,The Red Snapper from the King Cole Bar recipes,0.15342465753424658,0.7780821917808219,0.0684931506849315,3.65
dash,3 Delicious Ways To Roast Your Cauliflower recipes,0.14630390143737165,0.7956878850102669,0.05800821355236139,19.48
dash,Lemon-Basil Risotto with Tomato Topping,0.10909090909090909,0.5416267942583732,0.3492822966507177,20.9
dash,Green Beans with Shallots,0.15927021696252464,0.7298534798534798,0.11087630318399548,141.96
dash,The Cool Cucumber,0.07869481765834932,0.9040307101727447,0.01727447216890595,5.21
dash,Asparagus with Warm Vinaigrette,0.24178895877009082,0.7435359888190076,0.014675052410901465,42.93000000000001
dash,Agave Lime Chicken recipes,0.3595519008461447,0.29691335955190085,0.3435347396019545,419.54999999999995
dash,Cuba Libre,0.017769002961500493,0.9772951628825272,0.004935834155972359,10.13
dash,Spiced Old Fashioned,0.026399155227032733,0.9577613516367476,0.01583949313621964,9.47
dash,Agave Lime Chicken,0.4037915527731241,0.2045322281985716,0.3916762190283044,567.05
dash,Love In Jalisco,0.009009009009009009,0.981981981981982,0.009009009009009009,5.55
dash,Biriyani,0.27704117916394705,0.4833461602158813,0.23961266062017167,1026.49
dash,Pomegranate Chicken with Preserved Lemon and Almond Rice Pilaf Recipe,0.33025131791539397,0.3423041996391212,0.32744448244548485,847.93
dash,Pecan Butter,0.08020969855832241,0.20799475753604194,0.7117955439056357,228.9
dash,La Paloma,0.059125964010282785,0.922879177377892,0.017994858611825197,3.8899999999999997
dash,Bonus Recipe: Do the Cabbage Pack!,0.1338408644400786,0.43823673870333985,0.42792239685658157,81.44
dash,Michelada,0.09579755987347491,0.8978761861726163,0.006326253953908721,22.130000000000003
dash,I Love Ny Veggie Pizza,0.20567938446894582,0.6718489727928929,0.12247164273816134,252.14
dash,Healthy Whiskey & Ginger,0.016845329249617153,0.9770290964777948,0.006125574272588055,6.53
dash,Maple-Gingerbread Pots de Crème,0.1269216623758735,0.5599485104817948,0.3131298271423318,271.9
dash,Bloody Mary,0.1569767441860465,0.7906976744186046,0.052325581395348826,6.880000000000001
dash,"Garganelli Pasta with Scallops, Tomatoes and Green Beans",0.1609158495319485,0.7500432237508335,0.08904092671721785,404.87000000000006
dash,Jalapeño-Spiked Cherry Preserves,0.012078176328101669,0.9842220526263398,0.0036997710455586156,602.74
dash,"Potato, Leek and Parmesan Cheese Dumplings",0.22556213017751478,0.672261384100849,0.10217648572163623,971.75
dash,Old-Fashioned Cornbread Stuffing,0.13088883731724296,0.5570792632755965,0.3120318994071605,473.99
dash,Mezcal Paloma,0.04545454545454545,0.9469696969696969,0.007575757575757576,1.32
dash,Avocado-Sprout Toast,0.170304334460498,0.5339686443283124,0.29572702121118966,32.53
